Date,Subcategory,Payee,Reference,Amount
04-01-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-23.99
04-01-2022,Direct Debit,BG SERVICES,xxxxxx,-12.15
05-01-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-4.0
07-01-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.0
10-01-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-208.0
10-01-2022,Direct Debit,TESCO BANK,xxxxxx,-658.32
13-01-2022,Direct Debit,SKY DIGITAL,xxxxxx,-67.0
14-01-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,7.0
17-01-2022,Direct Debit,EE LIMITED,xxxxxx,-8.37
17-01-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
21-01-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-127.0
24-01-2022,Direct Debit,TV LICENCEA,xxxxxx,-159.0
25-01-2022,Counter Credit,Employer,xxxxxx/10,4072.14
25-01-2022,Counter Credit,Tenant,Rent Payment,1250.0
27-01-2022,Direct Debit,HOMESERVE,HSS xxxxxx,-1.5
28-01-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1250.0
31-01-2022,Direct Debit,NEWDAY LTD,xxxxxx,-318.54
31-01-2022,Bill Payment,HMRC SELF ASSESSME,xxxxxx,-1013.17
01-02-2022,Direct Debit,BG SERVICES,xxxxxx,-12.15
01-02-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-23.99
02-02-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-4.0
02-02-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,7.0
08-02-2022,Direct Debit,TESCO BANK,xxxxxx,-772.2
09-02-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.0
14-02-2022,Direct Debit,SKY DIGITAL,xxxxxx,-67.0
15-02-2022,Direct Debit,EE LIMITED,xxxxxx,-8.37
15-02-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
21-02-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-127.0
25-02-2022,Counter Credit,Employer,xxxxxx/11,5401.74
28-02-2022,Counter Credit,Tenant,Rent Payment,1350.0
28-02-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
01-03-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-23.99
01-03-2022,Direct Debit,BG SERVICES,xxxxxx,-12.15
03-03-2022,Direct Debit,NEWDAY LTD,xxxxxx,-145.27
03-03-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-4.0
07-03-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,7.0
07-03-2022,Funds Transfer,Friend,Spouse,-23.0
07-03-2022,Card Purchase,COSTCO WHOLESALE #,ON 06 MAR,-133.69
11-03-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.0
11-03-2022,Direct Debit,TESCO BANK,xxxxxx,-918.96
14-03-2022,Direct Debit,SKY DIGITAL,xxxxxx,-67.0
15-03-2022,Direct Debit,EE LIMITED,xxxxxx,-8.37
15-03-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
21-03-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-127.0
25-03-2022,Counter Credit,Employer,xxxxxx/12,5401.74
25-03-2022,Counter Credit,Tenant,Rent Payment,1350.0
25-03-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
31-03-2022,Direct Debit,NEWDAY LTD,xxxxxx,-667.75
01-04-2022,Direct Debit,BG SERVICES,xxxxxx,-12.15
01-04-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-23.99
01-04-2022,Funds Transfer,RED ROCK ESTATE,xxxxxx,-1917.0
04-04-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
08-04-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.0
08-04-2022,Direct Debit,TESCO BANK,xxxxxx,-779.42
08-04-2022,Funds Transfer,RED ROCK ESTATE,xxxxxx,-300.0
11-04-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-217.36
13-04-2022,Direct Debit,SKY DIGITAL,xxxxxx,-71.5
19-04-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
19-04-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
19-04-2022,Direct Debit,EE LIMITED,xxxxxx,-9.13
21-04-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-230.0
25-04-2022,Counter Credit,Employer,xxxxxx/01,5572.74
25-04-2022,Counter Credit,Tenant,Rent Payment,1350.0
26-04-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
27-04-2022,Direct Debit,HOMESERVE,HSS xxxxxx,-1.5
29-04-2022,Direct Debit,NEWDAY LTD,xxxxxx,-530.26
03-05-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-23.99
03-05-2022,Direct Debit,BG SERVICES,xxxxxx,-12.15
03-05-2022,Unpaid,BG SERVICES,xxxxxx,12.15
04-05-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
09-05-2022,Card Purchase,COSTCO PFS - WATFO,ON 06 MAY,-85.38
09-05-2022,Card Purchase,COSTCO WHOLESALE #,ON 06 MAY,-105.97
09-05-2022,Contactless Card Refund,COSTCO WHOLESALE #,ON 06 MAY,8.38
09-05-2022,Contactless Card Purchase,MCDONALDS,ON 06 MAY,-7.78
09-05-2022,Direct Debit,TESCO BANK,xxxxxx,-714.45
10-05-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
10-05-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
13-05-2022,Direct Debit,SKY DIGITAL,xxxxxx,-91.95
16-05-2022,Direct Debit,EE LIMITED,xxxxxx,-9.13
16-05-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
20-05-2022,Card Purchase,COSTCO PFS - WATFO,ON 19 MAY,-60.61
20-05-2022,Contactless Card Purchase,COSTCO WHOLESALE #,ON 19 MAY,-73.76
20-05-2022,Contactless Card Refund,COSTCO WHOLESALE #,ON 19 MAY,22.17
23-05-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
25-05-2022,Counter Credit,Employer,xxxxxx/02,5560.18
25-05-2022,Counter Credit,Tenant,Rent Payment,1350.0
25-05-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
25-05-2022,Funds Transfer,Son,POCKET ALLOWANCE,-100.0
26-05-2022,Transfer,CS SECURITIES EU *,115365*CSFBGB2L *,290.0
30-05-2022,Contactless Card Purchase,COSTCO WHOLESALE #,ON 27 MAY,-95.06
30-05-2022,Contactless Card Refund,COSTCO WHOLESALE #,ON 27 MAY,8.38
30-05-2022,Direct Debit,NEWDAY LTD,xxxxxx,-258.9
31-05-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
31-05-2022,Funds Transfer,Son,POCKET ALLOWANCE,-900.0
01-06-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-23.99
06-06-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
08-06-2022,Direct Debit,TESCO BANK,xxxxxx,-396.81
08-06-2022,Direct Debit,BG SERVICES           xxxxxx,,-14.2
09-06-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
10-06-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
13-06-2022,Direct Debit,SKY DIGITAL,xxxxxx,-34.69
15-06-2022,Direct Debit,EE LIMITED,xxxxxx,-9.13
15-06-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
20-06-2022,Contactless Card Refund,COSTCO WHOLESALE #,ON 18 JUN,29.97
21-06-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
21-06-2022,Funds Transfer,Friend,NORTHWALES HOLIDAY,-511.0
24-06-2022,Counter Credit,Employer,xxxxxx/03,5560.18
24-06-2022,Counter Credit,Tenant,Rent Payment,1350.0
24-06-2022,Card Purchase,THE ENGINEERING DE,ON 23 JUN,-75.0
27-06-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
30-06-2022,Direct Debit,NEWDAY LTD,xxxxxx,-805.09
01-07-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-29.99
01-07-2022,Direct Debit,BG SERVICES,xxxxxx,-14.17
04-07-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
04-07-2022,Funds Transfer,Friend,NORTHWALES HOLIDAY,-63.16
04-07-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,10.0
05-07-2022,Funds Transfer,Friend,NORTH WALES TRIP,-42.13
08-07-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
11-07-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
11-07-2022,Direct Debit,TESCO BANK,xxxxxx,-664.34
13-07-2022,Direct Debit,SKY DIGITAL,xxxxxx,-55.5
15-07-2022,Direct Debit,EE LIMITED,xxxxxx,-9.13
15-07-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
20-07-2022,Counter Credit,EE LIMITED,xxxxxx BG,9.13
21-07-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
22-07-2022,Funds Transfer,Enrichment,Son,-20.0
22-07-2022,Funds Transfer,RED ROCK ESTATE,xxxxxx,-124.22
25-07-2022,Counter Credit,Employer,xxxxxx/04,5590.0
25-07-2022,Counter Credit,Tenant,Rent Payment,1350.0
25-07-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
25-07-2022,Funds Transfer,Enrichment,Son,-20.0
25-07-2022,Funds Transfer,Son,POCKET ALLOWANCE,-1000.0
27-07-2022,Direct Debit,HOMESERVE,HSS xxxxxx,-1.5
28-07-2022,Funds Transfer,Enrichment,Son,-20.0
01-08-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-29.99
01-08-2022,Funds Transfer,Enrichment,Son,-20.0
02-08-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
04-08-2022,Funds Transfer,Enrichment,Son,-20.0
08-08-2022,Direct Debit,TESCO BANK,xxxxxx,-910.74
08-08-2022,Funds Transfer,Enrichment,Son,-20.0
09-08-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
09-08-2022,Counter Credit,247 HOME ASSIST LT,xxxxxx,13.0
10-08-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
11-08-2022,Funds Transfer,Enrichment,Son,-20.0
15-08-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
15-08-2022,Direct Debit,SKY DIGITAL,xxxxxx,-55.5
16-08-2022,Funds Transfer,Enrichment,Son,-20.0
22-08-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
22-08-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
25-08-2022,Counter Credit,Employer,xxxxxx/05,5589.99
25-08-2022,Counter Credit,Tenant,Rent Payment,1350.0
26-08-2022,Funds Transfer,Enrichment,Son,-20.0
26-08-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
30-08-2022,Funds Transfer,Enrichment,Son,-20.0
01-09-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-16.99
02-09-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
05-09-2022,Funds Transfer,Enrichment,Son,-20.0
08-09-2022,Direct Debit,TESCO BANK,xxxxxx,-612.89
09-09-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
12-09-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
12-09-2022,Funds Transfer,Enrichment,Son,-20.0
12-09-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
13-09-2022,Direct Debit,SKY DIGITAL,xxxxxx,-55.5
15-09-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
20-09-2022,Funds Transfer,Enrichment,Son,-20.0
21-09-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
23-09-2022,Counter Credit,Employer,xxxxxx/06,5452.8
23-09-2022,Counter Credit,Tenant,Rent Payment,1350.0
26-09-2022,Funds Transfer,Enrichment,Son,-20.0
26-09-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
26-09-2022,Funds Transfer,Son,POCKET ALLOWANCE,-900.0
03-10-2022,Funds Transfer,Enrichment,Son,-20.0
03-10-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-16.99
05-10-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
07-10-2022,Bill Payment,TESCO BANK,xxxxxx,-400.0
10-10-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
10-10-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
10-10-2022,Direct Debit,TESCO BANK,xxxxxx,-1490.73
10-10-2022,Funds Transfer,Enrichment,Son,-20.0
13-10-2022,Direct Debit,SKY DIGITAL,xxxxxx,-55.5
17-10-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
21-10-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
24-10-2022,Funds Transfer,Enrichment,Son,-20.0
25-10-2022,Counter Credit,Employer,xxxxxx/07,5452.8
25-10-2022,Counter Credit,Tenant,Rent Payment,1350.0
